Date,Adjusted Close,Close,High,Low,Open,Volume
2022-10-03,7637.96337890625,7640.0,7681.73779296875,7460.0,7514.0,526075
2022-10-04,7715.94287109375,7718.0,8023.45703125,7378.0,7658.0,666728
2022-10-05,7787.92333984375,7790.0,7804.0,7686.0,7706.0,992626
2022-10-06,7679.95263671875,7682.0,7850.0,7650.0,7788.0,700393
2022-10-07,7543.98876953125,7546.0,7726.0,7546.0,7652.0,459594
2022-10-10,7537.99072265625,7540.0,7582.0,7498.0,7524.0,330151
2022-10-11,7432.01904296875,7434.0,7604.0,7430.0,7560.0,619928
2022-10-12,7354.03955078125,7356.0,7482.0,7312.0,7456.0,423783
2022-10-13,7298.0546875,7300.0,7394.0,7188.0,7394.0,625011
2022-10-14,7290.056640625,7292.0,7410.0,7236.0,7348.0,492402
2022-10-17,7322.0478515625,7324.0,7356.0,7166.0,7276.0,784167
2022-10-18,7472.0078125,7474.0,7558.0,7318.0,7344.0,1537208
2022-10-19,7458.01171875,7460.0,7496.0,7412.0,7472.0,318381
2022-10-20,7414.0234375,7416.0,7472.7880859375,7242.0,7438.0,553971
2022-10-21,7348.04150390625,7350.0,7354.0,7180.0,7322.0,616734
2022-10-24,7364.03662109375,7366.0,7516.0,7318.0,7444.0,542671
2022-10-25,7438.01708984375,7440.0,7440.0,7337.99609375,7388.0,367882
2022-10-26,7543.98876953125,7546.0,7558.0,7403.0,7424.0,1193975
2022-10-27,7575.98046875,7578.0,7642.0,7466.0,7514.0,638179
2022-10-28,7583.97802734375,7586.0,7618.0,7496.0,7524.0,382855
2022-10-31,7563.9833984375,7566.0,7654.0,7550.0,7586.0,388008
2022-11-01,7617.96875,7620.0,7726.0,7580.0,7622.0,390806
2022-11-02,7657.958984375,7660.0,7764.0,7643.6162109375,7670.0,435334
2022-11-03,7609.97119140625,7612.0,7660.0,7488.0,7580.0,280491
2022-11-04,7697.94775390625,7700.0,7712.0,7544.0,7620.0,367999
2022-11-07,7747.9345703125,7750.0,7780.0,7658.0,7688.0,689491
2022-11-08,7783.9248046875,7786.0,7802.0,7652.0,7724.0,616093
2022-11-09,7885.8974609375,7888.0,7912.0,7766.0,7766.0,581520
2022-11-10,8069.84814453125,8072.0,8140.0,7806.0,7836.0,534333
2022-11-11,8217.8095703125,8220.0,8232.0,8098.0,8116.0,865236
2022-11-14,8019.861328125,8022.0,8269.0,8022.0,8208.0,867066
2022-11-15,7983.87158203125,7986.0,8062.0,7960.0,8030.0,374387
